title,year,tg,tg_adj,op,op_adj,tg_theaters,op_theaters,opdate,cldate,days,budget
35 and Ticking,2011.0,113794,220.531,29808,4968.0,6,6,5/20/2011,8/14/2011,86.0,
Mysteries of Lisbon,2011.0,110507,189.875,12308,6154.0,6,2,8/5/2011,11/10/2011,97.0,
Henry's Crime,2011.0,102541,206.736,8726,4363.0,8,2,4/8/2011,6/9/2011,62.0,
Rubber,2011.0,100370,88.044,16346,3269.2,15,5,4/1/2011,6/16/2011,76.0,
Rejoice and Shout,2011.0,100237,159.106,6589,6589.0,7,1,6/3/2011,9/1/2011,90.0,
Elite Squad: The Enemy Within,2011.0,100119,125.462,8648,8648.0,7,1,11/11/2011,3/4/2012,114.0,
The Man Who Fell to Earth (35th anniversary re-issue),2011.0,100072,104.242,5922,5922.0,6,1,6/24/2011,12/1/2011,160.0,
Last Night,2011.0,98986,366.615,29505,2950.5,10,10,5/6/2011,6/2/2011,27.0,
A Little Help,2011.0,96868,336.347,44870,1869.583,24,24,7/22/2011,8/3/2011,12.0,
Chalo Dilli,2011.0,94300,74.194,38268,1234.452,31,31,4/29/2011,6/9/2011,41.0,
My Reincarnation,2011.0,92822,95.202,6498,6498.0,5,1,10/28/2011,5/10/2012,195.0,
American: The Bill Hicks Story,2011.0,92234,29.318,5872,5872.0,11,1,4/8/2011,1/19/2012,286.0,
Evil Bong 3-D,2011.0,91260,2225.854,24775,24775.0,1,1,4/8/2011,5/19/2011,41.0,
Exporting Raymond,2011.0,87727,337.412,35292,2714.769,13,13,4/29/2011,5/19/2011,20.0,
Crazy Wisdom,2011.0,86202,66.823,10304,10304.0,5,1,11/25/2011,8/9/2012,258.0,
Vidal Sassoon: The Movie,2011.0,85974,358.225,13053,13053.0,5,1,2/11/2011,3/31/2011,48.0,
Carancho,2011.0,85526,144.959,15810,3162.0,5,5,2/11/2011,6/9/2011,118.0,
The Robber,2011.0,83451,56.769,2169,2169.0,6,1,2/3/2011,10/6/2011,245.0,
The Whale,2011.0,81881,60.207,4835,2417.5,5,2,9/9/2011,6/7/2012,272.0,
