title,year,tg,tg_adj,op,op_adj,tg_theaters,op_theaters,opdate,cldate,days,budget
Red Dawn (2012),2012.0,44806783,175.128,14276668,5241.068,2781,2724,11/21/2012,2/21/2013,92.0,65000000.0
The Three Stooges,2012.0,44338224,101.868,17010125,4892.184,3482,3477,4/13/2012,8/16/2012,125.0,30000000.0
Star Wars: Episode I - The Phantom Menace (in 3D),2012.0,43456382,151.553,22469932,8463.251,2655,2655,2/10/2012,5/28/2012,108.0,
Resident Evil: Retribution,2012.0,42345531,242.074,21052227,6989.451,3016,3012,9/14/2012,11/11/2012,58.0,65000000.0
The Cabin in the Woods,2012.0,42073277,166.304,14743614,5244.971,2811,2811,4/13/2012,7/12/2012,90.0,
What to Expect When You're Expecting,2012.0,41152203,179.237,10547068,3491.251,3021,3021,5/18/2012,8/2/2012,76.0,40000000.0
Finding Nemo (3D),2012.0,41128283,113.301,16687773,5746.478,2904,2904,9/14/2012,1/17/2013,125.0,
End of Watch,2012.0,41003371,124.995,13152683,4817.833,2780,2730,9/21/2012,1/17/2013,118.0,7000000.0
Rock of Ages,2012.0,38518613,179.04,14437269,4160.596,3470,3470,6/15/2012,8/16/2012,62.0,75000000.0
Abraham Lincoln: Vampire Hunter,2012.0,37519139,134.088,16306974,5246.774,3109,3108,6/22/2012,9/20/2012,90.0,69000000.0
Lawless,2012.0,37400127,129.548,10001982,3463.29,3138,2888,8/29/2012,11/29/2012,92.0,
The Guilt Trip,2012.0,37134215,195.837,5290629,2176.318,2431,2431,12/19/2012,3/7/2013,78.0,40000000.0
That's My Boy,2012.0,36931089,329.418,13453714,4440.17,3030,3030,6/15/2012,7/22/2012,37.0,70000000.0
Trouble with the Curve,2012.0,35763137,134.147,12162040,3786.438,3212,3212,9/21/2012,12/13/2012,83.0,
The Watch,2012.0,35353000,134.451,12750297,4024.715,3168,3168,7/27/2012,10/18/2012,83.0,68000000.0
Frankenweenie,2012.0,35291068,80.439,11412213,3797.741,3005,3005,10/5/2012,2/28/2013,146.0,39000000.0
Step Up Revolution,2012.0,35074677,195.061,11731708,4570.202,2606,2567,7/27/2012,10/4/2012,69.0,33000000.0
Tyler Perry's Good Deeds,2012.0,35025791,197.935,15583924,7309.533,2132,2132,2/24/2012,5/17/2012,83.0,
"Monsters, Inc. (3D)",2012.0,34043006,97.041,4774686,1823.791,2618,2618,12/19/2012,5/2/2013,134.0,
2016 Obama's America,2012.0,33449086,184.262,31610,31610.0,2017,1,7/13/2012,10/11/2012,90.0,
House at the End of The Street,2012.0,31611916,113.929,12287234,3985.48,3083,3083,9/21/2012,12/20/2012,90.0,10000000.0
The Pirates! Band of Misfits,2012.0,31051126,92.469,11137734,3316.776,3358,3358,4/27/2012,8/5/2012,100.0,55000000.0
Joyful Noise,2012.0,30932113,163.909,11225190,4104.274,2735,2735,1/13/2012,3/22/2012,69.0,
Chimpanzee,2012.0,28972764,166.57,10673748,6829.013,1567,1563,4/20/2012,8/9/2012,111.0,
The Five-Year Engagement,2012.0,28835528,178.267,10610060,3613.781,2941,2936,4/27/2012,6/21/2012,55.0,30000000.0
Cloud Atlas,2012.0,27108272,148.889,9612247,4786.976,2023,2008,10/26/2012,1/24/2013,90.0,
One For the Money,2012.0,26414527,126.986,11515790,4207.45,2737,2737,1/27/2012,4/12/2012,76.0,40000000.0
Alex Cross,2012.0,25888412,134.056,11396768,4488.684,2541,2539,10/19/2012,1/3/2013,76.0,35000000.0
Katy Perry: Part of Me,2012.0,25326071,165.539,7138266,2614.749,2732,2730,7/5/2012,8/30/2012,56.0,12000000.0
Sparkle (2012),2012.0,24397469,247.098,11643342,5188.655,2244,2244,8/17/2012,9/30/2012,44.0,14000000.0
Premium Rush,2012.0,20275446,155.023,6030164,2674.13,2255,2255,8/24/2012,10/21/2012,58.0,35000000.0
Big Miracle,2012.0,20157300,152.423,7760205,3645.0,2133,2129,2/3/2012,4/5/2012,62.0,40000000.0
The Secret World of Arrietty,2012.0,19202743,113.665,6446395,4235.476,1522,1522,2/17/2012,6/7/2012,111.0,
The Impossible,2012.0,19019882,181.925,143818,9587.867,886,15,12/21/2012,4/18/2013,118.0,
Haywire,2012.0,18942396,125.163,8425370,3454.436,2441,2439,1/20/2012,3/22/2012,62.0,23000000.0
Man on a Ledge,2012.0,18620000,182.671,8001932,2669.09,2998,2998,1/27/2012,3/1/2012,34.0,42000000.0
A Thousand Words,2012.0,18450127,117.304,6176280,3267.873,1895,1890,3/9/2012,5/31/2012,83.0,40000000.0
Chernobyl Diaries,2012.0,18119640,135.408,7955307,3269.752,2433,2433,5/25/2012,7/19/2012,55.0,
The Perks of Being a Wallflower,2012.0,17742948,171.338,228359,57089.75,745,4,9/21/2012,2/7/2013,139.0,
Silent Hill: Revelation 3D,2012.0,17529157,117.187,8023036,2735.437,2933,2933,10/26/2012,12/16/2012,51.0,20000000.0
Wanderlust,2012.0,17450535,212.599,6526650,3260.065,2002,2002,2/24/2012,4/5/2012,41.0,
Safe (2012),2012.0,17142080,137.241,7892539,3483.027,2271,2266,4/27/2012,6/21/2012,55.0,
To Rome with Love,2012.0,16685867,141.795,361359,72271.8,806,5,6/22/2012,11/15/2012,146.0,
The Master,2012.0,16377274,104.725,736311,147262.2,864,5,9/14/2012,3/14/2013,181.0,
The Raven,2012.0,16008272,95.353,7289642,3308.961,2209,2203,4/27/2012,7/12/2012,76.0,26000000.0
The Man with the Iron Fists,2012.0,15634090,173.99,7910980,4235.0,1872,1868,11/2/2012,12/20/2012,48.0,15000000.0
Killing Them Softly,2012.0,15026056,74.685,6812900,2810.602,2424,2424,11/30/2012,2/21/2013,83.0,15000000.0
Seven Psychopaths,2012.0,15024049,147.122,4174915,2820.889,1480,1480,10/12/2012,12/20/2012,69.0,15000000.0
To the Arctic (IMAX),2012.0,14415485,196.332,270228,5404.56,52,50,4/20/2012,03/02/2016,1412.0,
Lockout,2012.0,14326864,149.651,6231836,2700.102,2335,2308,4/13/2012,5/24/2012,41.0,20000000.0
Hit and Run,2012.0,13749300,95.814,4526222,1577.081,2870,2870,8/22/2012,10/11/2012,50.0,2000000.0
Dredd,2012.0,13414714,127.958,6278491,2505.383,2557,2506,9/21/2012,11/1/2012,41.0,50000000.0
Playing for Keeps,2012.0,13102272,60.704,5750288,2026.89,2840,2837,12/7/2012,2/21/2013,76.0,
Anna Karenina,2012.0,12816367,292.024,320690,20043.125,422,16,11/16/2012,2/28/2013,104.0,
Beasts of the Southern Wild,2012.0,12795746,150.705,169702,42425.5,318,4,6/27/2012,3/21/2013,267.0,
Silent House,2012.0,12754783,109.183,6661234,3136.174,2124,2124,3/9/2012,5/3/2012,55.0,
Cirque Du Soleil: Worlds Away,2012.0,12512862,270.841,2162993,2574.992,840,840,12/21/2012,2/14/2013,55.0,
People Like Us,2012.0,12434778,97.597,4255423,2070.765,2055,2055,6/29/2012,8/30/2012,62.0,16000000.0
Gone,2012.0,11682205,111.335,4770360,2182.232,2186,2186,2/24/2012,4/12/2012,48.0,
The Words,2012.0,11494838,151.994,4750894,1696.142,2801,2801,9/7/2012,10/4/2012,27.0,6000000.0
The Intouchables (U.S.-only),2012.0,10198820,221.82,103507,25876.75,194,4,5/25/2012,1/17/2013,237.0,
Fun Size,2012.0,9409538,64.997,4101017,1360.656,3016,3014,10/26/2012,12/13/2012,48.0,14000000.0
Bernie,2012.0,9206470,189.934,85805,28601.667,332,3,4/27/2012,9/20/2012,146.0,
Salmon Fishing in the Yemen,2012.0,9047981,191.857,225894,12549.667,524,18,3/9/2012,6/7/2012,90.0,
Arbitrage,2012.0,7919574,247.487,2002165,10163.274,256,197,9/14/2012,1/17/2013,125.0,
Promised Land (2012),2012.0,7597898,167.902,173915,6956.6,1676,25,12/28/2012,1/24/2013,27.0,
Friends with Kids,2012.0,7251073,116.802,2019083,5471.77,640,369,3/9/2012,6/14/2012,97.0,
Seeking a Friend for the End of the World,2012.0,7078738,335.088,3822803,2352.494,1625,1625,6/22/2012,7/5/2012,13.0,10000000.0
The Collection,2012.0,6842058,162.558,3104269,2212.594,1403,1403,11/30/2012,12/30/2012,30.0,
Amour,2012.0,6739492,136.748,68266,22755.333,333,3,12/19/2012,5/16/2013,148.0,8900000.0
Hyde Park on Hudson,2012.0,6376145,233.507,81362,20340.5,246,4,12/7/2012,3/28/2013,111.0,
Hitchcock,2012.0,6008677,96.492,287715,16924.412,561,17,11/23/2012,3/14/2013,111.0,
Chasing Mavericks,2012.0,6002756,37.431,2268274,1133.004,2030,2002,10/26/2012,1/13/2013,79.0,20000000.0
The Sessions,2012.0,6002451,79.676,113467,28366.75,516,4,10/19/2012,3/14/2013,146.0,
Casa De Mi Padre,2012.0,5909483,200.662,2287239,5987.537,475,382,3/16/2012,5/17/2012,62.0,
For Greater Glory,2012.0,5672846,98.603,1885608,2490.896,757,757,6/1/2012,8/16/2012,76.0,
Won't Back Down,2012.0,5310554,38.361,2603370,1035.137,2517,2515,9/28/2012,11/22/2012,55.0,
October Baby (2012),2012.0,5157886,159.342,1697130,4351.615,390,390,3/23/2012,6/14/2012,83.0,
The Apparition,2012.0,4936819,126.976,2841488,3508.01,810,810,8/24/2012,10/11/2012,48.0,17000000.0
"Jeff, Who Lives at Home",2012.0,4269426,134.233,855709,3368.933,513,254,3/16/2012,5/17/2012,62.0,
Goon,2012.0,4168528,177.581,1232860,5115.602,242,241,2/24/2012,5/31/2012,97.0,
The Raid: Redemption,2012.0,4105187,41.979,213785,15270.357,881,14,3/23/2012,7/12/2012,111.0,
Safety Not Guaranteed,2012.0,4010957,166.956,97762,10862.444,182,9,6/8/2012,10/18/2012,132.0,
Bully (PG-13),2012.0,3863446,212.897,535433,3388.816,263,158,4/13/2012,6/21/2012,69.0,
The Cold Light of Day,2012.0,3763583,92.251,1831588,1212.169,1511,1511,9/7/2012,10/4/2012,27.0,
Searching for Sugar Man,2012.0,3696196,905.487,27459,9153.0,157,3,7/27/2012,8/22/2012,26.0,
Nitro Circus the Movie 3D,2012.0,3377618,65.969,1183701,1479.626,800,800,8/8/2012,10/11/2012,64.0,
Atlas Shrugged: Part II,2012.0,3336053,68.677,1751572,1730.802,1012,1012,10/12/2012,11/29/2012,48.0,
Last Ounce of Courage,2012.0,3329674,87.648,1585994,1127.217,1407,1407,9/14/2012,10/11/2012,27.0,
Robot & Frank,2012.0,3325038,101.333,35539,17769.5,209,2,8/17/2012,1/21/2013,157.0,
Raiders of the Lost Ark (IMAX),2012.0,3125613,359.514,1673731,6268.655,322,267,9/7/2012,10/4/2012,27.0,
Celeste and Jesse Forever,2012.0,3094813,40.009,107785,26946.25,586,4,8/3/2012,12/13/2012,132.0,
Jab Tak Hai Jaan,2012.0,3047539,1548.546,1283585,7972.578,164,161,11/13/2012,11/25/2012,12.0,
Albert Nobbs,2012.0,3014696,110.855,696088,2841.176,245,245,1/27/2012,5/17/2012,111.0,
Talaash,2012.0,2871956,407.254,1638706,9527.36,172,172,11/30/2012,1/10/2013,41.0,
Barfi!,2012.0,2804874,482.933,1061713,8043.28,132,132,9/14/2012,10/28/2012,44.0,
Samsara,2012.0,2672413,156.464,76222,38111.0,70,2,8/24/2012,4/25/2013,244.0,
Girl in Progress,2012.0,2609412,197.653,1384078,4298.379,322,322,5/11/2012,6/21/2012,41.0,
Jiro Dreams of Sushi,2012.0,2552478,191.054,42035,21017.5,80,2,3/9/2012,8/23/2012,167.0,
Ruby Sparks,2012.0,2540106,105.785,140822,10832.462,261,13,7/25/2012,10/25/2012,92.0,
Dabangg 2,2012.0,2519190,446.348,1019213,6139.837,166,166,12/21/2012,1/24/2013,34.0,
The Queen of Versailles,2012.0,2401999,215.91,51326,17108.667,89,3,7/20/2012,11/22/2012,125.0,
Ek Tha Tiger,2012.0,2347774,1778.617,1139340,9494.5,120,120,8/15/2012,8/26/2012,11.0,
Sleepwalk with Me,2012.0,2266067,186.508,68801,68801.0,135,1,8/24/2012,11/22/2012,90.0,
Rust and Bone,2012.0,2062027,92.985,27154,13577.0,168,2,11/23/2012,4/4/2013,132.0,
Monsieur Lazhar (U.S.-only),2012.0,2009517,129.097,112190,5904.737,86,19,4/13/2012,10/11/2012,181.0,
Footnote,2012.0,2007758,159.03,47528,23764.0,101,2,3/9/2012,7/12/2012,125.0,
Killer Joe,2012.0,1987762,335.487,37900,12633.333,75,3,7/27/2012,10/14/2012,79.0,
Agneepath,2012.0,1986748,537.54,1140464,8639.879,132,132,1/26/2012,2/23/2012,28.0,
English Vinglish,2012.0,1862086,414.903,745414,8470.614,88,88,10/5/2012,11/25/2012,51.0,
Crooked Arrows,2012.0,1832541,90.389,257364,4679.345,327,55,5/18/2012,7/19/2012,62.0,
Hysteria,2012.0,1804139,62.696,35656,7131.2,218,5,5/18/2012,9/27/2012,132.0,
Housefull 2,2012.0,1791780,361.173,847132,7001.091,121,121,4/6/2012,5/17/2012,41.0,
2012 Oscar Nominated Short Films,2012.0,1702415,242.925,412304,3435.867,146,120,2/10/2012,3/29/2012,48.0,
Your Sister's Sister,2012.0,1636190,224.999,109221,8401.615,101,13,6/15/2012,8/26/2012,72.0,
Singin' In the Rain (2012 re-release),2012.0,1608925,63.732,587211,1046.722,561,561,7/12/2012,8/26/2012,45.0,
Farewell My Queen,2012.0,1597998,257.409,72100,18025.0,64,4,7/13/2012,10/18/2012,97.0,
A Late Quartet,2012.0,1562546,118.375,75279,8364.333,100,9,11/2/2012,3/14/2013,132.0,
A Royal Affair,2012.0,1546761,158.74,38212,5458.857,56,7,11/9/2012,5/2/2013,174.0,
Kid With a Bike,2012.0,1470000,189.922,45933,15311.0,86,3,3/16/2012,6/14/2012,90.0,
Marley,2012.0,1413480,164.091,262004,6238.19,73,42,4/20/2012,8/16/2012,118.0,
The Other Son,2012.0,1285918,226.753,125691,3065.634,53,41,10/26/2012,2/10/2013,107.0,
"For a Good Time, Call... ",2012.0,1251749,285.331,143935,6258.043,107,23,8/31/2012,10/11/2012,41.0,
Take This Waltz,2012.0,1239692,215.224,137019,4567.3,64,30,6/29/2012,9/27/2012,90.0,
Cocktail (2012),2012.0,1227789,473.684,647956,6749.542,96,96,7/13/2012,8/9/2012,27.0,
Bol Bachchan,2012.0,1216258,539.6,561996,5734.653,98,98,7/6/2012,7/29/2012,23.0,
Woman Thou Art Loosed!: On the 7th Day,2012.0,1213128,238.429,641542,6289.627,106,102,4/13/2012,5/31/2012,48.0,
Headhunters,2012.0,1200010,180.182,43013,10753.25,60,4,4/27/2012,8/16/2012,111.0,
Ek Main Aur Ekk Tu,2012.0,1155545,253.91,637100,5739.64,111,111,2/10/2012,3/22/2012,41.0,
The Deep Blue Sea,2012.0,1126525,115.423,123841,3994.871,61,31,3/23/2012,8/30/2012,160.0,
Oogieloves In The BIG Balloon Adventure,2012.0,1065907,22.431,443901,205.51,2160,2160,8/29/2012,9/20/2012,22.0,20000000.0
In Darkness,2012.0,1041455,206.474,27413,9137.667,52,3,2/10/2012,5/17/2012,97.0,
Diana Vreeland: The Eye Has to Travel,2012.0,1017579,246.328,63700,21233.333,27,3,9/21/2012,2/21/2013,153.0,
First Position,2012.0,1014071,317.891,48024,9604.8,58,5,5/4/2012,6/28/2012,55.0,
Barbara,2012.0,1013902,218.231,63410,4227.333,23,15,12/21/2012,7/11/2013,202.0,
Damsels in Distress,2012.0,1008455,35.391,58589,14647.25,205,4,4/6/2012,8/23/2012,139.0,
Unconditional,2012.0,1005800,201.482,525192,1683.308,312,312,9/21/2012,10/7/2012,16.0,
Rampart,2012.0,972512,101.94,60446,12089.2,106,5,2/10/2012,5/10/2012,90.0,
The Imposter,2012.0,898317,204.07,22379,22379.0,31,1,7/13/2012,12/2/2012,142.0,
Darling Companion,2012.0,793815,99.227,39962,9990.5,64,4,4/20/2012,8/23/2012,125.0,
Thin Ice,2012.0,790421,153.748,183527,3462.774,53,53,2/17/2012,5/24/2012,97.0,
Teri Meri Kahaani,2012.0,781196,361.33,405926,4318.362,94,94,6/22/2012,7/15/2012,23.0,
Rowdy Rathore,2012.0,777373,190.533,381784,3181.533,120,120,6/1/2012,7/5/2012,34.0,
Son of Sardaar,2012.0,771789,236.021,341552,3133.505,109,109,11/13/2012,12/13/2012,30.0,
Cosmopolis,2012.0,763556,244.729,70339,23446.333,65,3,8/17/2012,10/4/2012,48.0,
Coriolanus,2012.0,757195,273.158,61136,6792.889,21,9,1/20/2012,5/31/2012,132.0,
On the Road,2012.0,744296,52.697,39550,9887.5,107,4,12/21/2012,5/2/2013,132.0,
Agent Vinod,2012.0,698210,248.828,427043,3500.352,122,122,3/23/2012,4/15/2012,23.0,
The Paperboy,2012.0,693286,190.046,102706,9336.909,76,11,10/5/2012,11/22/2012,48.0,
The Thieves,2012.0,685839,451.804,136993,12453.909,22,11,10/12/2012,12/20/2012,69.0,
Student of the Year,2012.0,670086,274.851,326508,3080.264,106,106,10/19/2012,11/11/2012,23.0,
The Polar Express (2012 re-issue),2012.0,669289,915.58,73514,4900.933,17,15,11/21/2012,1/3/2013,43.0,
Holy Motors,2012.0,641100,216.734,18866,9433.0,29,2,10/17/2012,1/27/2013,102.0,
2 Days in New York,2012.0,633210,155.427,23942,11971.0,42,2,8/10/2012,11/15/2012,97.0,
Not Fade Away,2012.0,610792,31.796,19182,6394.0,565,3,12/21/2012,1/24/2013,34.0,20000000.0
Heroine,2012.0,598668,262.574,389901,3420.184,114,114,9/21/2012,10/11/2012,20.0,
Blue Like Jazz,2012.0,595018,79.548,261190,1920.515,136,136,4/13/2012,6/7/2012,55.0,
"Peace, Love and Misunderstanding",2012.0,590700,228.599,105960,3418.065,76,31,6/8/2012,7/12/2012,34.0,
W.E.,2012.0,583455,250.625,47074,11768.5,24,4,2/3/2012,5/10/2012,97.0,
Undefeated (2012),2012.0,562218,241.192,33165,6633.0,21,5,2/17/2012,6/7/2012,111.0,
Vicky Donor,2012.0,549001,406.667,169209,3384.18,50,50,4/20/2012,5/17/2012,27.0,
We Have a Pope,2012.0,548115,294.211,31368,10456.0,27,3,4/6/2012,6/14/2012,69.0,
Being Flynn,2012.0,540152,149.71,43990,10997.5,88,4,3/2/2012,4/12/2012,41.0,
Ai Weiwei: Never Sorry,2012.0,534100,232.825,41104,8220.8,37,5,7/27/2012,9/27/2012,62.0,
Where Do We Go Now?,2012.0,531997,115.026,15382,5127.333,37,3,5/11/2012,9/13/2012,125.0,
The Flat,2012.0,471842,210.55,19916,6638.667,27,3,10/19/2012,1/10/2013,83.0,
Bachelorette,2012.0,447954,219.585,181494,3861.574,60,47,9/7/2012,10/11/2012,34.0,
Ferrari Ki Sawaari,2012.0,434107,3.234,240792,2432.242,99,99,6/15/2012,03/02/2016,1356.0,
Seeking Justice,2012.0,411746,89.123,249912,1081.87,231,231,3/16/2012,4/5/2012,20.0,
Sound of My Voice,2012.0,408015,137.102,36134,7226.8,48,5,4/27/2012,6/28/2012,62.0,
Detropia,2012.0,390024,93.397,17414,17414.0,24,1,9/7/2012,2/28/2013,174.0,
The Well-Digger's Daughter,2012.0,386368,18.28,10273,3424.333,16,3,7/20/2012,03/02/2016,1321.0,
Khiladi 786,2012.0,379466,2.794,228967,1991.017,115,115,12/7/2012,03/02/2016,1181.0,
Smashed,2012.0,376597,83.688,26943,6735.75,50,4,10/12/2012,1/10/2013,90.0,
Piranha 3DD,2012.0,376512,218.902,182237,2119.035,86,86,6/1/2012,6/21/2012,20.0,
The Oranges,2012.0,366377,123.359,198461,1804.191,110,110,10/5/2012,11/1/2012,27.0,
Branded,2012.0,353513,42.648,240589,783.678,307,307,9/7/2012,10/4/2012,27.0,
Chico & Rita,2012.0,350524,245.809,20654,20654.0,23,1,2/10/2012,4/12/2012,62.0,
Red Hook Summer,2012.0,338803,79.457,40070,10017.5,41,4,8/10/2012,11/22/2012,104.0,
Liberal Arts,2012.0,327345,153.036,27435,6858.75,31,4,9/14/2012,11/22/2012,69.0,
The Central Park Five,2012.0,325653,214.528,30570,10190.0,22,3,11/23/2012,1/31/2013,69.0,
Compliance,2012.0,319285,200.053,16427,16427.0,21,1,8/17/2012,11/1/2012,76.0,
The Salt of Life,2012.0,317405,96.009,19176,9588.0,19,2,3/2/2012,8/23/2012,174.0,
Back to 1942,2012.0,312954,381.651,105702,5285.1,20,20,11/30/2012,1/10/2013,41.0,
The Flowers of War,2012.0,311434,107.022,48448,1614.933,30,30,1/20/2012,4/26/2012,97.0,
West of Memphis,2012.0,310154,64.081,13360,2672.0,40,5,12/25/2012,4/25/2013,121.0,
A Cat in Paris,2012.0,309973,165.584,34554,5759.0,18,6,6/1/2012,9/13/2012,104.0,
Love (2012),2012.0,309200,374.788,83178,11882.571,15,7,2/17/2012,4/12/2012,55.0,
Stolen (2012),2012.0,304318,166.022,183125,1298.759,141,141,9/14/2012,9/27/2012,13.0,
Something From Nothing: The Art of Rap,2012.0,288312,91.819,150337,957.561,157,157,6/15/2012,7/5/2012,20.0,
Bully (2012),2012.0,279202,3579.513,116472,23294.4,6,5,3/30/2012,4/12/2012,13.0,
Love in the Buff,2012.0,256451,446.779,91233,9123.3,14,10,3/30/2012,5/10/2012,41.0,
Boy (2012),2012.0,256211,9.743,21244,10622.0,18,2,3/2/2012,03/02/2016,1461.0,
Chicken with Plums,2012.0,253874,8.181,11301,5650.5,24,2,8/17/2012,03/02/2016,1293.0,
Lola Versus,2012.0,252603,142.875,31815,7953.75,52,4,6/8/2012,7/12/2012,34.0,
Keep the Lights On,2012.0,246112,221.723,55574,11114.8,10,5,9/7/2012,12/27/2012,111.0,
The Waiting Room,2012.0,244951,131.978,7086,1771.5,8,4,9/26/2012,5/16/2013,232.0,
My Uncle Rafael,2012.0,243616,341.199,109747,7839.071,14,14,9/21/2012,11/11/2012,51.0,
Gerhard Richter Painting,2012.0,242646,182.167,13537,13537.0,9,1,3/14/2012,8/9/2012,148.0,
Trishna,2012.0,240381,143.769,29140,9713.333,38,3,7/13/2012,8/26/2012,44.0,
Middle of Nowhere (2012),2012.0,236806,152.778,67909,11318.167,25,6,10/12/2012,12/13/2012,62.0,"$200,000"
Elena,2012.0,233380,110.817,9035,9035.0,13,1,5/16/2012,10/25/2012,162.0,
Tezz,2012.0,229931,118.521,148133,1527.144,97,97,4/27/2012,5/17/2012,20.0,
The Viral Factor,2012.0,220496,145.254,63235,2874.318,22,22,1/20/2012,3/29/2012,69.0,
Brooklyn Castle,2012.0,219407,121.421,18761,9380.5,13,2,10/19/2012,3/7/2013,139.0,
Neil Young Journeys,2012.0,215026,84.225,12025,4008.333,23,3,6/29/2012,10/18/2012,111.0,
Thaandavam,2012.0,213476,175.7,129044,2867.644,45,45,9/28/2012,10/25/2012,27.0,
Tai Chi Zero,2012.0,212094,166.872,85094,2744.968,31,31,10/19/2012,11/29/2012,41.0,
Polisse,2012.0,211440,296.134,16568,5522.667,21,3,5/18/2012,6/21/2012,34.0,
Somewhere Between,2012.0,210975,219.766,7799,7799.0,6,1,8/24/2012,1/31/2013,160.0,
The House I Live In,2012.0,210752,133.051,16453,8226.5,12,2,10/5/2012,2/14/2013,132.0,
The Awakening (2012),2012.0,209696,2.317,95933,1370.471,70,70,8/17/2012,03/02/2016,1293.0,
Little White Lies,2012.0,206088,213.342,25654,8551.333,14,3,8/24/2012,11/1/2012,69.0,
Easy Money (2012),2012.0,205741,459.243,24684,12342.0,7,2,7/11/2012,9/13/2012,64.0,
Vettai,2012.0,204373,146.609,87921,2585.912,34,34,1/13/2012,2/23/2012,41.0,
Touchback,2012.0,204232,73.997,66998,1339.96,69,50,4/13/2012,5/23/2012,40.0,
10 Years,2012.0,203373,119.561,22707,7569.0,63,3,9/14/2012,10/11/2012,27.0,
Tim & Eric's Billion Dollar Movie,2012.0,201436,4.178,87475,3644.792,33,24,3/2/2012,03/02/2016,1461.0,
Any Day Now,2012.0,201395,95.493,40489,2530.562,19,16,12/14/2012,4/4/2013,111.0,
A Simple Life,2012.0,191826,84.804,43372,4819.111,13,9,4/13/2012,10/4/2012,174.0,
Puella Magi Madoka Magica the Movie,2012.0,180440,191.957,62340,12468.0,5,5,10/19/2012,4/25/2013,188.0,
Lost Woods,2012.0,180117,1065.781,58240,4480.0,13,13,3/2/2012,3/15/2012,13.0,
Fullmetal Alchemist: The Sacred Star of Milos,2012.0,177802,88.195,119300,2840.476,42,42,1/20/2012,3/8/2012,48.0,
Tere Naal Love Ho Gaya,2012.0,177743,134.348,94583,1930.265,49,49,2/24/2012,3/22/2012,27.0,
Monumental: In Search of America's National Treasure,2012.0,177729,129.07,28340,4723.333,27,6,3/30/2012,5/20/2012,51.0,
The Hunter (2012),2012.0,176669,7.288,19032,4758.0,17,4,4/6/2012,03/02/2016,1426.0,
Grand Illusion (2012 re-release),2012.0,174065,195.14,7526,7526.0,4,1,5/11/2012,12/20/2012,223.0,
Battlefield America,2012.0,172000,70.376,113882,605.755,188,188,6/1/2012,6/14/2012,13.0,
Flying Swords of Dragon Gate,2012.0,170276,8.875,95452,6363.467,15,15,8/31/2012,03/02/2016,1279.0,
Joker,2012.0,169181,114.311,105366,1423.865,74,74,8/31/2012,9/20/2012,20.0,
Dark Horse,2012.0,166228,210.415,13551,13551.0,10,1,6/8/2012,8/26/2012,79.0,
The Big Picture (2012),2012.0,158411,286.976,13760,6880.0,8,2,10/12/2012,12/20/2012,69.0,
Crazy Horse,2012.0,157782,106.322,7963,7963.0,14,1,1/18/2012,5/3/2012,106.0,
Elles,2012.0,157508,87.165,24286,4047.667,13,6,4/27/2012,9/13/2012,139.0,
Deadtime,2012.0,156072,510.039,30240,1680.0,18,18,5/11/2012,5/28/2012,17.0,
Shirin Farhad Ki Toh Nikal Padi,2012.0,155758,480.735,119743,2217.463,54,54,8/24/2012,8/30/2012,6.0,
Sister (2012),2012.0,154659,8.88,15401,5133.667,14,3,10/5/2012,03/02/2016,1244.0,
Unforgivable,2012.0,154189,205.585,27857,5571.4,6,5,6/29/2012,11/1/2012,125.0,
Once Upon a Time in Anatolia,2012.0,152408,16.722,10952,10952.0,6,1,1/4/2012,03/02/2016,1519.0,
Bullhead,2012.0,151840,58.762,32267,4609.571,34,7,2/17/2012,5/3/2012,76.0,
Chakravyuh,2012.0,151778,87.329,97896,1239.19,79,79,10/24/2012,11/15/2012,22.0,
Hecho En Mexico,2012.0,151133,290.64,76123,6343.583,26,12,11/30/2012,12/20/2012,20.0,
Simon and the Oaks,2012.0,150664,216.161,9964,9964.0,17,1,10/12/2012,11/22/2012,41.0,
Deadly Renovations,2012.0,146146,562.1,42588,3276.0,13,13,6/8/2012,6/28/2012,20.0,
I Wish,2012.0,145808,116.833,10919,2183.8,12,5,5/11/2012,8/23/2012,104.0,
From Beneath,2012.0,144123,615.91,47628,2646.0,18,18,8/10/2012,8/23/2012,13.0,
This Must Be the Place,2012.0,143979,199.971,7754,3877.0,15,2,11/2/2012,12/20/2012,48.0,
Luv Shuv Tey Chicken Khurana,2012.0,143507,183.983,95364,1589.4,60,60,11/2/2012,11/15/2012,13.0,
High School,2012.0,139034,53.475,82832,414.16,200,200,6/1/2012,6/14/2012,13.0,
Beloved (2012),2012.0,137515,577.794,25825,5165.0,7,5,8/17/2012,9/20/2012,34.0,
Slaughter Creek,2012.0,136815,657.764,49392,3087.0,16,16,9/14/2012,9/27/2012,13.0,
Warriors of the Rainbow: Seediq Bale,2012.0,136166,7.455,57183,4765.25,13,12,4/27/2012,03/02/2016,1405.0,23000000.0
The Other Dream Team,2012.0,135228,201.232,19821,9910.5,14,2,9/28/2012,11/15/2012,48.0,
Kumare,2012.0,132160,10.869,9601,9601.0,9,1,6/20/2012,03/02/2016,1351.0,
How to Survive a Plague,2012.0,132055,160.067,28250,7062.5,15,4,9/21/2012,11/15/2012,55.0,
The Loneliest Planet,2012.0,129579,181.229,15689,7844.5,13,2,10/26/2012,12/20/2012,55.0,
