Transformers: Dark of the Moon
The Hangover Part II
Pirates of the Caribbean: On Stranger Tides
Fast Five
Cars 2
Sherlock Holmes: A Game of Shadows
Thor
Rise of the Planet of the Apes
Captain America: The First Avenger
The Help
Bridesmaids
Kung Fu Panda 2
Puss in Boots
X-Men: First Class
Rio
The Smurfs
Alvin and the Chipmunks: Chipwrecked
Super 8
Rango
Horrible Bosses
Green Lantern
Hop
Paranormal Activity 3
Just Go With It
The Girl with the Dragon Tattoo 
Bad Teacher
Cowboys & Aliens
Gnomeo and Juliet
The Green Hornet
The Lion King 
The Muppets
Real Steel
Crazy, Stupid, Love.
Battle: Los Angeles
Immortals
The Descendants
Zookeeper
War Horse
Limitless
Tower Heist
The Adventures of Tintin
Contagion
We Bought a Zoo
Moneyball
Jack and Jill
Hugo
Justin Bieber: Never Say Never
Dolphin Tale
No Strings Attached
Mr. Popper's Penguins
Happy Feet Two
Unknown
The Adjustment Bureau
Water for Elephants
The Lincoln Lawyer
Midnight in Paris
Friends with Benefits
I Am Number Four
Source Code
New Year's Eve
Insidious
Footloose 
The Dilemma
Arthur Christmas
Hall Pass
The Artist
Soul Surfer
Final Destination 5
The Ides of March
Hanna
Something Borrowed
Scream 4
Big Mommas: Like Father, Like Son
Red Riding Hood
Paul
J. Edgar
The Roommate
Jumping the Broom
The Change-Up
30 Minutes or Less
Colombiana
Sucker Punch
Larry Crowne
Drive 
50/50
Courageous
The Rite
Arthur 
Extremely Loud & Incredibly Close
The Debt
The Sitter
The Iron Lady
Priest
The Mechanic
Abduction
Beastly
Winnie the Pooh
Killer Elite
Season of the Witch
Our Idiot Brother
Born to Be Wild 
Don't Be Afraid of the Dark
Sanctum
Monte Carlo
Your Highness
The Darkest Hour
Mars Needs Moms
Dream House
Conan the Barbarian 
The Three Musketeers 
The Eagle
Shark Night 3D
Fright Night 
Apollo 18
The Thing 
Young Adult
African Cats
Judy Moody and the NOT Bummer Summer
My Week with Marilyn
What's Your Number?
One Day
Warrior
The Tree of Life
The Rum Diary
The Conspirator
Jane Eyre
Drive Angry
Straw Dogs 
Win Win
Prom
I Don't Know How She Does It
Johnny English Reborn
Kevin Hart: Laugh at My Pain
Sarah's Key
The Big Year
A Separation
Take Me Home Tonight
Cedar Rapids
Beginners
A Dangerous Method
The Guard
Margin Call
Cave of Forgotten Dreams
Atlas Shrugged: Part I
Anonymous
The Company Men
Barney's Version 
The Way
Seven Days in Utopia
Buck
Of Gods and Men
Shame
Don 2
Pina
